,wearable_label_id,x_value,y_value,z_value,timest
2857,1,-115,201,-112,2019-07-09 08:40:37
2858,1,-59,257,-119,2019-07-09 08:40:37
2859,1,-59,257,-119,2019-07-09 08:40:37
2860,1,-52,258,-109,2019-07-09 08:40:37
2861,1,-52,258,-109,2019-07-09 08:40:37
2862,1,-92,193,-106,2019-07-09 08:40:37
2863,1,-92,193,-106,2019-07-09 08:40:37
2864,1,-110,38,-118,2019-07-09 08:40:37
2865,1,-110,38,-118,2019-07-09 08:40:37
2866,1,-102,-8,-138,2019-07-09 08:40:37
2867,1,-102,-8,-138,2019-07-09 08:40:37
2868,1,-102,-28,-93,2019-07-09 08:40:37
2869,1,-132,-28,-93,2019-07-09 08:40:37
2870,1,-132,-28,-93,2019-07-09 08:40:37
2871,1,-109,145,-72,2019-07-09 08:40:37
2872,1,-84,65,-64,2019-07-09 08:40:37
2873,1,-122,116,-82,2019-07-09 08:40:37
2874,1,-108,25,-76,2019-07-09 08:40:38
2875,1,-121,15,-16,2019-07-09 08:40:38
2876,1,-110,-64,-47,2019-07-09 08:40:38
2877,1,-86,12,-104,2019-07-09 08:40:38
2878,1,-85,-44,-106,2019-07-09 08:40:38
2879,1,-126,-70,-35,2019-07-09 08:40:38
2880,1,-88,7,-64,2019-07-09 08:40:38
2881,1,-99,109,-85,2019-07-09 08:40:38
2882,1,-143,-45,-87,2019-07-09 08:40:38
2883,1,-36,108,-106,2019-07-09 08:40:38
2884,1,-108,108,-64,2019-07-09 08:40:39
2885,1,-90,27,-81,2019-07-09 08:40:39
2886,1,-79,74,-62,2019-07-09 08:40:39
2887,1,-20,137,-100,2019-07-09 08:40:39
2888,1,-136,99,-84,2019-07-09 08:40:39
2889,1,-127,-17,-99,2019-07-09 08:40:39
2890,1,5,202,-125,2019-07-09 08:40:39
2891,1,-151,-81,-101,2019-07-09 08:40:39
2892,1,-122,362,-192,2019-07-09 08:40:39
2893,1,-315,203,-141,2019-07-09 08:40:39
2894,1,-251,279,-130,2019-07-09 08:40:40
2895,1,-85,-598,-120,2019-07-09 08:40:40
2896,1,-12,-712,-140,2019-07-09 08:40:40
2897,1,29,33,-136,2019-07-09 08:40:40
2898,1,-164,139,-74,2019-07-09 08:40:40
2899,1,-193,123,-109,2019-07-09 08:40:40
2900,1,-107,-33,-138,2019-07-09 08:40:45
2901,1,-25,0,-117,2019-07-09 08:40:46
2902,1,-25,0,-117,2019-07-09 08:40:46
2903,1,-43,5,-123,2019-07-09 08:40:46
2904,1,-43,5,-123,2019-07-09 08:40:46
2905,1,-43,5,-123,2019-07-09 08:40:46
2906,1,-47,-5,-120,2019-07-09 08:40:46
2907,1,-47,-5,-120,2019-07-09 08:40:46
2908,1,-54,-13,-125,2019-07-09 08:40:46
2909,1,-54,-13,-125,2019-07-09 08:40:46
2910,1,-21,-32,-135,2019-07-09 08:40:46
2911,1,-21,-32,-135,2019-07-09 08:40:46
2912,1,9,-81,-133,2019-07-09 08:40:46
2913,1,9,-81,-133,2019-07-09 08:40:46
2914,1,-56,-47,-84,2019-07-09 08:40:46
2915,1,-56,-47,-84,2019-07-09 08:40:46
2916,1,-72,-2,-92,2019-07-09 08:40:46
2917,1,-72,-2,-92,2019-07-09 08:40:46
2918,1,-174,44,-122,2019-07-09 08:40:46
2919,1,-174,44,-122,2019-07-09 08:40:46
2920,1,-174,44,-122,2019-07-09 08:40:46
2921,1,-30,58,-93,2019-07-09 08:40:46
2922,1,-30,58,-93,2019-07-09 08:40:46
2923,1,-37,97,-94,2019-07-09 08:40:46
2924,1,-37,97,-94,2019-07-09 08:40:46
2925,1,-46,69,-80,2019-07-09 08:40:46
2926,1,-46,69,-80,2019-07-09 08:40:46
2927,1,-82,8,-93,2019-07-09 08:40:46
2928,1,-82,8,-93,2019-07-09 08:40:46
2929,1,-69,-49,-113,2019-07-09 08:40:46
2930,1,-69,-49,-113,2019-07-09 08:40:46
2931,1,-64,-70,-128,2019-07-09 08:40:46
2932,1,-64,-70,-128,2019-07-09 08:40:46
2933,1,-89,36,-131,2019-07-09 08:40:46
2934,1,-89,36,-131,2019-07-09 08:40:46
2935,1,-104,82,-135,2019-07-09 08:40:46
2936,1,-104,82,-135,2019-07-09 08:40:46
2937,1,-104,82,-143,2019-07-09 08:40:46
2938,1,-98,172,-143,2019-07-09 08:40:46
2939,1,-98,172,-143,2019-07-09 08:40:46
2940,1,-131,178,-130,2019-07-09 08:40:46
2941,1,-131,178,-130,2019-07-09 08:40:46
2942,1,-137,109,-90,2019-07-09 08:40:46
2943,1,-137,109,-90,2019-07-09 08:40:46
2944,1,-86,46,-106,2019-07-09 08:40:46
2945,1,-86,46,-106,2019-07-09 08:40:46
2946,1,-144,5,-119,2019-07-09 08:40:46
2947,1,-144,5,-119,2019-07-09 08:40:46
2948,1,-141,-48,-109,2019-07-09 08:40:46
2949,1,-141,-48,-109,2019-07-09 08:40:46
2950,1,-141,-48,-121,2019-07-09 08:40:46
2951,1,-74,21,-121,2019-07-09 08:40:46
2952,1,-74,21,-121,2019-07-09 08:40:46
2953,1,-85,139,-65,2019-07-09 08:40:46
2954,1,-85,139,-65,2019-07-09 08:40:46
2955,1,-104,211,-98,2019-07-09 08:40:46
2956,1,-104,211,-98,2019-07-09 08:40:46
2957,1,-95,115,-120,2019-07-09 08:40:46
2958,1,-95,115,-120,2019-07-09 08:40:46
2959,1,-108,19,-112,2019-07-09 08:40:46
2960,1,-108,19,-112,2019-07-09 08:40:46
2961,1,-145,-123,-132,2019-07-09 08:40:46
2962,1,-93,-53,-84,2019-07-09 08:40:46
2963,1,-79,85,-115,2019-07-09 08:40:46
2964,1,-213,-139,-69,2019-07-09 08:40:47
2965,1,-105,-291,-30,2019-07-09 08:40:47
2966,1,158,-181,-125,2019-07-09 08:40:47
2967,1,4,-94,-134,2019-07-09 08:40:47
2968,1,-62,509,-140,2019-07-09 08:40:47
2969,1,-157,481,-222,2019-07-09 08:40:47
2970,1,-166,79,-11,2019-07-09 08:40:47
2971,1,-49,173,-112,2019-07-09 08:40:47
2972,1,-121,297,-199,2019-07-09 08:40:47
2973,1,-130,-3,-87,2019-07-09 08:40:47
2974,1,14,31,-50,2019-07-09 08:40:48
2975,1,-66,14,-80,2019-07-09 08:40:48
